Unnamed: 0,TICKER,Year,Avg_Annual_PE
7,ADVANC,2022,23.31539419087137
17,AOT,2022,0.0
23,AWC,2022,81.74356846473029
33,BBL,2022,9.903153526970954
43,BCP,2022,4.4224896265560165
53,BDMS,2022,43.481493775933615
62,BEM,2022,108.30298755186722
70,BGRIM,2022,76.40784232365145
80,BH,2022,84.1140663900415
90,BJC,2022,34.323983402489624
100,BTS,2022,30.669128630705394
110,CBG,2022,36.81721991701245
120,CENTEL,2022,170.3395020746888
130,CPALL,2022,41.93182572614108
140,CPF,2022,19.8996265560166
150,CPN,2022,39.944190871369294
155,CRC,2022,867.8516182572614
165,DELTA,2022,66.0659336099585
175,EA,2022,54.55448132780084
185,EGCO,2022,17.79991701244813
195,GLOBAL,2022,27.91207468879668
205,GPSC,2022,41.28821576763485
213,GULF,2022,69.1898755186722
223,HMPRO,2022,33.530663900414936
233,INTUCH,2022,22.244771784232363
236,ITC,2022,22.554666666666662
246,IVL,2022,7.701825726141079
256,KBANK,2022,8.899128630705395
266,KTB,2022,8.870207468879666
276,KTC,2022,25.15966804979253
286,LH,2022,14.771701244813276
296,MINT,2022,28.169294605809128
306,MTC,2022,19.18045643153527
310,OR,2022,24.68755186721992
317,OSP,2022,32.448132780082986
327,PTT,2022,9.898755186721992
337,PTTEP,2022,14.242365145228217
347,PTTGC,2022,6.336348547717842
357,RATCH,2022,10.64688796680498
360,SCB,2022,8.186666666666666
370,SCC,2022,11.097634854771783
375,SCGP,2022,31.400746887966804
379,TIDLOR,2022,23.32697095435685
389,TISCO,2022,11.025103734439837
392,TLI,2022,21.320747663551405
402,TOP,2022,5.7314107883817424
414,TTB,2022,11.541535269709543
424,TU,2022,10.829626556016596
434,WHA,2022,18.33585062240664
