Unnamed: 0,TICKER,Year,Avg_Annual_ROE
8,ADVANC,2023,33.94620836777493
18,AOT,2023,5.720205613535063
24,AWC,2023,5.916591932127858
34,BBL,2023,7.356081490135693
44,BCP,2023,17.09060974955333
54,BDMS,2023,14.863067206703324
64,BEM,2023,8.489500829011442
72,BGRIM,2023,1.374298707712053
82,BH,2023,32.1941456120296
92,BJC,2023,4.151418904665073
102,BTS,2023,-1.3966107991364058
112,CBG,2023,16.477271323591975
122,CENTEL,2023,6.36065904387442
132,CPALL,2023,15.28744575191085
142,CPF,2023,0.3647145912888624
152,CPN,2023,16.0841256136458
157,CRC,2023,12.7723468997013
167,DELTA,2023,31.10649376744337
177,EA,2023,22.115351692084225
187,EGCO,2023,-0.0865363462127515
197,GLOBAL,2023,13.038539652017
207,GPSC,2023,2.2297719089818626
215,GULF,2023,12.570249477724026
225,HMPRO,2023,26.33751729241657
235,INTUCH,2023,31.0536128078748
238,ITC,2023,14.46130200511838
248,IVL,2023,-0.5312524096827949
258,KBANK,2023,7.342513744367755
268,KTB,2023,9.719413143223544
278,KTC,2023,22.86326270974325
288,LH,2023,13.917920980193877
298,MINT,2023,9.466691715358944
308,MTC,2023,16.35877021288675
312,OR,2023,8.534340935439053
319,OSP,2023,11.968013676381414
329,PTT,2023,8.725658433679495
339,PTTEP,2023,16.29271152599965
349,PTTGC,2023,-3.08456064043578
359,RATCH,2023,5.418292915746648
362,SCB,2023,8.752412632481157
372,SCC,2023,7.217990264311583
377,SCGP,2023,5.544907135907227
381,TIDLOR,2023,14.329251442898926
391,TISCO,2023,17.44827629762925
394,TLI,2023,9.631863627169883
404,TOP,2023,11.855248561885762
406,TRUE,2023,-8.276669483860086
416,TTB,2023,7.675367353591185
426,TU,2023,1.037325255419142
436,WHA,2023,13.97449747822645
